 ( -1.7809905974e-04+ 0.0000000000e+00j)  ( -1.7816391909e-04+ 0.0000000000e+00j)
 ( -1.5344464927e-04+ 0.0000000000e+00j)  ( -1.5350053007e-04+ 0.0000000000e+00j)
 ( -1.3193902855e-04+ 0.0000000000e+00j)  ( -1.3198707753e-04+ 0.0000000000e+00j)
 ( -1.1322080186e-04+ 0.0000000000e+00j)  ( -1.1326203412e-04+ 0.0000000000e+00j)
 ( -9.6964013123e-05+ 0.0000000000e+00j)  ( -9.6999325055e-05+ 0.0000000000e+00j)
 ( -8.2875535577e-05+ 0.0000000000e+00j)  ( -8.2905716828e-05+ 0.0000000000e+00j)
 ( -7.0692530095e-05+ 0.0000000000e+00j)  ( -7.0718274592e-05+ 0.0000000000e+00j)
 ( -6.0179990358e-05+ 0.0000000000e+00j)  ( -6.0201906443e-05+ 0.0000000000e+00j)
 ( -5.1128389527e-05+ 0.0000000000e+00j)  ( -5.1147009240e-05+ 0.0000000000e+00j)
 ( -4.3351439581e-05+ 0.0000000000e+00j)  ( -4.3367227117e-05+ 0.0000000000e+00j)
 ( -3.6683971325e-05+ 0.0000000000e+00j)  ( -3.6697330732e-05+ 0.0000000000e+00j)
 ( -3.0979940396e-05+ 0.0000000000e+00j)  ( -3.0991222534e-05+ 0.0000000000e+00j)
 ( -2.6110562111e-05+ 0.0000000000e+00j)  ( -2.6120070940e-05+ 0.0000000000e+00j)
 ( -2.1962575937e-05+ 0.0000000000e+00j)  ( -2.1970574170e-05+ 0.0000000000e+00j)
 ( -1.8436638565e-05+ 0.0000000000e+00j)  ( -1.8443352737e-05+ 0.0000000000e+00j)
 ( -1.5445843084e-05+ 0.0000000000e+00j)  ( -1.5451468082e-05+ 0.0000000000e+00j)
 ( -1.2914360524e-05+ 0.0000000000e+00j)  ( -1.2919063618e-05+ 0.0000000000e+00j)
 ( -1.0776199056e-05+ 0.0000000000e+00j)  ( -1.0780123484e-05+ 0.0000000000e+00j)
 ( -8.9740754142e-06+ 0.0000000000e+00j)  ( -8.9773435526e-06+ 0.0000000000e+00j)
 ( -7.4583925205e-06+ 0.0000000000e+00j)  ( -7.4611086842e-06+ 0.0000000000e+00j)
 ( -6.1863169597e-06+ 0.0000000000e+00j)  ( -6.1885698646e-06+ 0.0000000000e+00j)
 ( -5.1209497055e-06+ 0.0000000000e+00j)  ( -5.1228146297e-06+ 0.0000000000e+00j)
 ( -4.2305834340e-06+ 0.0000000000e+00j)  ( -4.2321241087e-06+ 0.0000000000e+00j)
 ( -3.4880397815e-06+ 0.0000000000e+00j)  ( -3.4893100399e-06+ 0.0000000000e+00j)
 ( -2.8700800209e-06+ 0.0000000000e+00j)  ( -2.8711252336e-06+ 0.0000000000e+00j)
 ( -2.3568828301e-06+ 0.0000000000e+00j)  ( -2.3577411489e-06+ 0.0000000000e+00j)
 ( -1.9315830720e-06+ 0.0000000000e+00j)  ( -1.9322865071e-06+ 0.0000000000e+00j)
 ( -1.7939118499e-06+ 0.0000000000e+00j)  ( -1.7945561658e-06+ 0.0000000000e+00j)
 ( -2.1888988877e-06+ 0.0000000000e+00j)  ( -2.1896850703e-06+ 0.0000000000e+00j)
 ( -2.6655185761e-06+ 0.0000000000e+00j)  ( -2.6664759454e-06+ 0.0000000000e+00j)
 ( -3.2394340103e-06+ 0.0000000000e+00j)  ( -3.2405975117e-06+ 0.0000000000e+00j)
 ( -3.9290537718e-06+ 0.0000000000e+00j)  ( -3.9304649627e-06+ 0.0000000000e+00j)
 ( -4.7559602757e-06+ 0.0000000000e+00j)  ( -4.7576684651e-06+ 0.0000000000e+00j)
 ( -5.7453947814e-06+ 0.0000000000e+00j)  ( -5.7474583442e-06+ 0.0000000000e+00j)
 ( -6.9268047119e-06+ 0.0000000000e+00j)  ( -6.9292925995e-06+ 0.0000000000e+00j)
 ( -8.3344591605e-06+ 0.0000000000e+00j)  ( -8.3374526328e-06+ 0.0000000000e+00j)
 ( -1.0008138644e-05+ 0.0000000000e+00j)  ( -1.0011733248e-05+ 0.0000000000e+00j)
 ( -1.1993905267e-05+ 0.0000000000e+00j)  ( -1.1998213096e-05+ 0.0000000000e+00j)
 ( -1.4344959503e-05+ 0.0000000000e+00j)  ( -1.4350111755e-05+ 0.0000000000e+00j)
 ( -1.7122589692e-05+ 0.0000000000e+00j)  ( -1.7128739581e-05+ 0.0000000000e+00j)
 ( -2.0397220190e-05+ 0.0000000000e+00j)  ( -2.0404546222e-05+ 0.0000000000e+00j)
 ( -2.4249563722e-05+ 0.0000000000e+00j)  ( -2.4258273393e-05+ 0.0000000000e+00j)
 ( -2.8771883024e-05+ 0.0000000000e+00j)  ( -2.8782216968e-05+ 0.0000000000e+00j)
 ( -3.4069366123e-05+ 0.0000000000e+00j)  ( -3.4081602755e-05+ 0.0000000000e+00j)
